master_nlc,station_name,latitude,longitude
568,Edgware,51.61366900,-0.27494156
774,Edgware Road (Bak),51.52046200,-0.17030186
569,Edgware Road (DIS),51.52025900,-0.16656227
6941,Edmonton Green,51.62483900,-0.06120295
570,Elephant & Castle LU,51.49488400,-0.10057713
5246,Elephant & Castle NR,51.49488400,-0.10057713
571,Elm Park,51.54958000,0.19743329
5049,Elmers End,51.39801600,-0.04970553
9471,Elmers End Trams,51.39834600,-0.04953336
5135,Elmstead Woods,51.41679400,0.04466241
1542,Elstree & Borehamwood,51.65233100,-0.27951672
5103,Eltham,51.45559100,0.05226856
898,Elverson Road,51.46852400,-0.01620508
542,Embankment,51.50721100,-0.12224179
7473,Emerson Park,51.56864600,0.22028668
6010,Enfield Chase,51.65263500,-0.09086689
6815,Enfield Lock,51.67088500,-0.02857738
6959,Enfield Town,51.65171700,-0.07869010
572,Epping,51.69363000,0.11398208
5360,Epsom,51.33434900,-0.26955448
5361,Epsom Downs,51.32392700,-0.23883080
5104,Erith,51.48157700,0.17519408
6004,Essex Road,51.54063200,-0.09630788
574,Euston LU,51.52828700,-0.13387416
1444,Euston NR,51.52880500,-0.13425663
575,Euston Square,51.52568800,-0.13556618
5415,Ewell East,51.34529400,-0.24128567
5586,Ewell West,51.35010800,-0.25712775
576,Fairlop,51.59594700,0.09113449
5137,Falconwood,51.45903100,0.07955808
577,Farringdon,51.52012300,-0.10478842
5559,Feltham,51.44784000,-0.41028632
7490,Fenchurch Street,51.51133200,-0.07742550
9472,Fieldway,51.35097000,-0.02417353
578,Finchley Central,51.60083500,-0.19231363
579,Finchley Road,51.54723200,-0.18069416
1445,Finchley Road & Frognal,51.55022900,-0.18317086
580,Finsbury Park,51.56483300,-0.10642155
6876,Forest Gate,51.54925100,0.02327751
5362,Forest Hill,51.43924100,-0.05308674
581,Fulham Broadway,51.48088100,-0.19435314
5587,Fulwell,51.43374800,-0.34969009
3144,Furze Platt,51.53315400,-0.72841480
894,Gallions Reach,51.50896200,0.07178654
582,Gants Hill,51.57657600,0.06530578
5416,Gatwick Airport,51.15672200,-0.16101795
9473,George Street,51.37389700,-0.09890774
3051,Gerrards Cross,51.58900000,-0.55500000
6877,Gidea Park,51.58152900,0.20572971
5363,Gipsy Hill,51.42470700,-0.08458761
583,Gloucester Road,51.49451200,-0.18375915
584,Golders Green,51.57230200,-0.19402301
585,Goldhawk Road,51.50175800,-0.22656627
586,Goodge Street,51.52059700,-0.13436150
6878,Goodmayes,51.56574300,0.11208452
6028,Gordon Hill,51.66317900,-0.09453022
1409,Gospel Oak,51.55549000,-0.15157166
587,Grange Hill,51.61313500,0.09250218
6029,Grange Park,51.64332700,-0.09693805
9474,Gravel Hill,51.35457600,-0.04291923
7443,Grays,51.47636200,0.32188125
588,Great Portland Street,51.52381100,-0.14370101
590,Green Park,51.50662300,-0.14291544
589,Greenford,51.54225100,-0.34534974
928,Greenwich,51.47811400,-0.01538573
5139,Grove Park,51.43050500,0.02258730
591,Gunnersbury,51.49137400,-0.27552831
5364,Hackbridge,51.37802800,-0.15367128
6977,Hackney Central,51.54708800,-0.05676498
6867,Hackney Downs,51.54852700,-0.06059796
6978,Hackney Wick,51.54342500,-0.02427018
6075,Hadley Wood,51.66863000,-0.17618159
1022,Haggerston,51.53851900,-0.07538593
592,Hainault,51.60331700,0.09336489
593,Hammersmith (DIS),51.49214100,-0.22329499
773,Hammersmith (H&C),51.49352400,-0.22494110
594,Hampstead,51.55659400,-0.17843084
1413,Hampstead Heath,51.55523900,-0.16535798
5560,Hampton,51.41590600,-0.37214866
5561,Hampton Court,51.40202000,-0.34252261
5589,Hampton Wick,51.41455700,-0.31234448
595,Hanger Lane,51.53030600,-0.29365056
3191,Hanwell,51.51171800,-0.33870298
596,Harlesden,51.53635300,-0.25783810
6879,Harold Wood,51.59282400,0.23284276
1543,Harpenden,51.81534700,-0.35357299
6012,Harringay,51.57738700,-0.10535135
7401,Harringay Green Lanes,51.57726600,-0.09785157
9475,Harrington Road,51.39966100,-0.06047541
597,Harrow & Wealdstone,51.59221600,-0.33487284
598,Harrow-on-the-Hill,51.57926600,-0.33665957
1398,Hatch End,51.60958000,-0.36878329
6070,Hatfield,51.76392000,-0.21778966
779,Hatton Cross,51.46654000,-0.42399020
5289,Haydons Road,51.42540200,-0.18885961
3186,Hayes & Harlington,51.50295500,-0.41904580
5050,Hayes (Kent),51.37632300,0.01057067
1434,Headstone Lane,51.60255400,-0.35694886
7091,Heathrow Terminal 4 EL,51.45909100,-0.44599680
781,Heathrow Terminal 4 LU,51.45880600,-0.44547392
9846,Heathrow Terminal 5 EL,51.47222600,-0.48772393
783,Heathrow Terminal 5 LU,51.47251400,-0.48772882
780,Heathrow Terminals 123 LU,51.47134400,-0.45247734
7090,Heathrow Terminals 2 & 3 EL,51.47192500,-0.45431507
1522,Hendon,51.58021300,-0.23888495
601,Hendon Central,51.58340000,-0.22655053
3146,Henley-on-Thames,51.53434200,-0.90022579
5066,Herne Hill,51.45346500,-0.10228246
855,Heron Quays,51.50294900,-0.02158345
6818,Hertford East,51.79919900,-0.07264428
6085,Hertford North,51.79928500,-0.09222001
602,High Barnet,51.65039800,-0.19388418
605,High Street Kensington,51.50029700,-0.19211625
3054,High Wycombe,51.62900000,-0.74500000
6919,Highams Park,51.60912800,-0.00005802
603,Highbury & Islington,51.54637200,-0.10365461
604,Highgate,51.57768300,-0.14583651
606,Hillingdon,51.55360400,-0.45046638
5107,Hither Green,51.45144000,-0.00049476
607,Holborn,51.51711300,-0.12006174
608,Holland Park,51.50719300,-0.20551840
609,Holloway Road,51.55287100,-0.11300554
6979,Homerton,51.54707400,-0.04296285
5418,Honor Oak Park,51.45002100,-0.04538886
5365,Horley,51.16879000,-0.16095280
610,Hornchurch,51.55387600,0.21811027
6015,Hornsey,51.58632000,-0.11167771
5563,Hounslow,51.46209900,-0.36172440
611,Hounslow Central,51.47130700,-0.36623246
612,Hounslow East,51.47320200,-0.35643101
613,Hounslow West,51.47358300,-0.38582033
1023,Hoxton,51.53128800,-0.07584953
614,Hyde Park Corner,51.50273000,-0.15432692
615,Ickenham,51.56157200,-0.44234742
6881,Ilford,51.55894100,0.06890687
9586,Imperial Wharf,51.47510200,-0.18293181
856,Island Gardens,51.48805800,-0.01048861
5592,Isleworth,51.47489400,-0.33677236
3170,Iver,51.50859200,-0.50682390
5419,Kenley,51.32477400,-0.10083936
616,Kennington,51.48828900,-0.10587833
617,Kensal Green,51.53061000,-0.22445052
1448,Kensal Rise,51.53447400,-0.22010437
618,Kensington (Olympia),51.49743400,-0.20948904
5080,Kent House,51.41205100,-0.04466479
619,Kentish Town,51.55018200,-0.13886320
1449,Kentish Town West,51.54670900,-0.14670659
620,Kenton,51.58152500,-0.31664467
5593,Kew Bridge,51.48950400,-0.28722313
621,Kew Gardens,51.47713300,-0.28496487
5108,Kidbrooke,51.46206600,0.02748077
622,Kilburn,51.54699100,-0.20533758
1415,Kilburn High Road,51.53773800,-0.19129632
623,Kilburn Park,51.53507000,-0.19437238
523,King George V,51.50200600,0.06235019
9476,King Henry's Drive,51.34537300,-0.02023567
6121,King's Cross,51.53205500,-0.12375722
625,King's Cross St. Pancras,51.53025200,-0.12406202
624,Kingsbury,51.58432000,-0.27870922
5565,Kingston,51.41281500,-0.30198301
5366,Kingswood,51.29472900,-0.21101785
626,Knightsbridge,51.50175300,-0.16082135
5109,Knockholt,51.34577000,0.13083188
627,Ladbroke Grove,51.51726000,-0.21110424
5057,Ladywell,51.45602900,-0.01919387
628,Lambeth North,51.49883400,-0.11237120
629,Lancaster Gate,51.51185000,-0.17511450
853,Langdon Park,51.51526800,-0.01411705
3171,Langley,51.50785500,-0.54186358
630,Latimer Road,51.51347700,-0.21778108
6927,Lea Bridge,51.56682400,-0.03713681
9477,Lebanon Road,51.37521300,-0.08472879
5110,Lee,51.44968200,0.01449712
631,Leicester Square,51.51146200,-0.12826395
940,Lewisham DLR,51.46498900,-0.01300386
5051,Lewisham NR,51.46563600,-0.01399799
632,Leyton,51.55681500,-0.00513804
7402,Leyton Midland Road,51.56941900,-0.00702501
633,Leytonstone,51.56880100,0.00861884
