lon,lat,avgPtai2015,ptalNumeric
0.143721,51.468903,3.8967,2.0
0.134972,51.470297,6.97214,3.0
0.151121,51.468283,7.68435,3.0
0.132036,51.466409,12.1571,4.0
0.126572,51.467256,6.53809,3.0
0.139301,51.465685,8.54207,3.0
0.130908,51.472999,4.70258,2.0
0.13735,51.457493,16.1787,5.0
0.130767,51.453748,5.08739,3.0
0.145498,51.453782,15.0623,5.0
0.135767,51.452482,5.38097,3.0
0.148815,51.450255,3.823,2.0
0.145847,51.4613,10.9912,4.0
0.134826,51.461111,15.4365,5.0
0.176675,51.472003,3.20996,2.0
0.176024,51.46822,2.41844,1.0
0.167014,51.470195,4.21462,2.0
0.160926,51.467629,10.7576,4.0
0.170042,51.466193,4.97689,2.0
0.170335,51.474231,3.50441,2.0
0.17829,51.473784,3.11407,2.0
0.191086,51.45779,2.26362,1.0
0.187359,51.449263,6.52067,3.0
0.188024,51.455364,2.19275,1.0
0.179969,51.455087,1.62648,1.0
0.175167,51.450904,4.31319,2.0
0.181081,51.446167,7.05411,3.0
0.184913,51.462322,5.18912,3.0
0.129878,51.432292,1.43135,1.0
0.117651,51.430371,3.01202,2.0
0.131907,51.420937,0.677378,1.0
0.110672,51.421355,7.69227,3.0
0.127223,51.418634,3.61829,2.0
0.115989,51.418333,6.65619,3.0
0.124927,51.433096,7.4484,3.0
0.108323,51.459341,4.35928,2.0
0.127102,51.45733,8.03609,3.0
0.125438,51.45093,2.89856,2.0
0.108007,51.45306,1.68107,1.0
0.112935,51.462383,11.2378,4.0
0.120284,51.461949,8.81402,3.0
0.12885,51.461612,15.4882,5.0
0.086658,51.464702,4.94627,2.0
0.087483,51.461843,4.80394,2.0
0.094657,51.471085,3.35725,2.0
0.093771,51.466322,8.83361,3.0
0.098494,51.467587,10.4133,4.0
0.10598,51.467186,11.8369,4.0
0.155217,51.483856,3.55182,2.0
0.179657,51.479693,10.5372,4.0
0.174227,51.484868,9.788,3.0
0.168394,51.485466,3.73665,2.0
0.161482,51.483665,2.82144,2.0
0.167334,51.478876,5.89327,3.0
0.162496,51.489257,2.95511,2.0
0.102355,51.45748,6.05412,3.0
0.092652,51.457701,3.39149,2.0
0.098962,51.455156,3.93518,2.0
0.086542,51.457791,6.77975,3.0
0.095902,51.452868,3.13988,2.0
0.102934,51.462697,15.578,5.0
0.096535,51.460468,10.0208,4.0
0.125229,51.493657,14.2417,4.0
0.126385,51.481836,6.47468,3.0
0.129431,51.491067,8.33427,3.0
0.12768,51.478575,3.82175,2.0
0.13807,51.479027,4.24964,2.0
0.134834,51.476057,3.69421,2.0
0.124803,51.495486,9.60783,3.0
0.079177,51.433628,5.6252,3.0
0.0986,51.431526,12.0637,4.0
0.08768,51.433901,2.02419,1.0
0.088057,51.430337,4.01798,2.0
0.091593,51.426973,3.50594,2.0
0.098551,51.423931,8.34943,3.0
0.18631,51.476916,3.16287,2.0
0.197557,51.473897,1.11926,1.0
0.183568,51.474283,3.88447,2.0
0.190337,51.470125,6.72977,3.0
0.183322,51.468495,9.43322,3.0
0.194703,51.469874,3.18236,2.0
0.181963,51.4656,6.34223,3.0
0.140973,51.473455,5.0137,3.0
0.151097,51.476338,2.76876,2.0
0.159491,51.475725,3.66003,2.0
0.163329,51.47445,4.73103,2.0
0.149345,51.47308,2.87468,2.0
0.15682,51.472338,3.73763,2.0
0.146025,51.4777,4.71723,2.0
0.122045,51.438295,9.31065,3.0
0.163679,51.436674,1.73546,1.0
0.130934,51.43872,5.52986,3.0
0.124944,51.441423,5.51408,3.0
0.150673,51.443135,7.28666,3.0
0.138772,51.440478,6.52184,3.0
0.143963,51.443928,7.69075,3.0
0.119979,51.476495,3.65512,2.0
0.118452,51.473534,4.68981,2.0
0.124369,51.471602,3.56929,2.0
0.120325,51.468839,3.33074,2.0
0.113874,51.470512,5.20112,3.0
0.114504,51.465798,6.20344,3.0
0.121126,51.465891,3.1968,2.0
0.103325,51.428465,14.9432,4.0
0.111286,51.430396,6.24632,3.0
0.108269,51.426168,8.92433,3.0
0.100855,51.440347,2.84096,2.0
0.115769,51.436165,7.33343,3.0
0.102252,51.434457,13.3928,4.0
0.091072,51.437293,4.46658,2.0
0.131703,51.492914,7.31605,3.0
0.137224,51.493583,5.52304,3.0
0.129789,51.496386,1.67415,1.0
0.123578,51.509795,8.04513,3.0
0.129357,51.510371,3.15332,2.0
0.124372,51.50642,6.27424,3.0
0.124273,51.498367,6.99926,3.0
-0.291136,51.537395,2.37083,1.0
-0.297024,51.536403,10.2867,4.0
-0.295501,51.543706,13.5286,4.0
-0.292448,51.546038,6.01557,3.0
-0.304735,51.541686,11.3146,4.0
-0.290123,51.542947,4.26955,2.0
-0.284391,51.542663,4.59434,2.0
-0.294244,51.540625,10.8191,4.0
-0.269551,51.569519,8.773,3.0
-0.280176,51.568593,8.53172,3.0
-0.274449,51.568339,10.7994,4.0
-0.271896,51.563696,13.8398,4.0
-0.265643,51.562785,4.48723,2.0
-0.285647,51.577971,4.3358,2.0
-0.290539,51.578467,6.62453,3.0
-0.286847,51.572931,1.89211,1.0
-0.289413,51.571685,9.2071,3.0
